,0,columna_limpia
7545,price,price
7546,to,
7547,from,
7548,playags,playags
7549,inc,inc
7550,ags.n,ags.n
7551,truist,truist
7552,securities,securities
7553,cuts,cuts
7554,target,target
7555,price,price
7556,to,
7557,from,
7558,pliant,pliant
7559,therapeutics,therapeutics
7560,inc,inc
7561,plrx.o,plrx.o
7562,svb,svb
7563,securities,securities
7564,starts,starts
7565,with,
7566,outperform,outperform
7567,rating,rating
7568,pt,pt
7569,plymouth,plymouth
7570,industrial,industrial
7571,reit,reit
7572,inc,inc
7573,plym.n,plym.n
7574,truist,truist
7575,securities,securities
7576,cuts,cuts
7577,pt,pt
7578,to,
7579,from,
7580,power,power
7581,integrations,integrations
7582,inc,inc
7583,powi.o,powi.o
7584,deutsche,deutsche
7585,bank,bank
7586,cuts,cuts
7587,target,target
7588,price,price
7589,to,
7590,from,
7591,ppl,ppl
7592,corp,corp
7593,ppl.n,ppl.n
7594,citigroup,citigroup
7595,cuts,cuts
7596,price,price
7597,target,target
7598,to,
7599,from,
7600,public,public
7601,service,service
7602,enterprise,enterprise
7603,group,group
7604,inc,inc
7605,peg.n,peg.n
7606,bmo,bmo
7607,cuts,cuts
7608,target,target
7609,price,price
7610,to,
7611,from,
7612,qualcomm,qualcomm
7613,inc,inc
7614,qcom.o,qcom.o
7615,deutsche,deutsche
7616,bank,bank
7617,cuts,cuts
7618,target,target
7619,price,price
7620,to,
7621,from,
7622,qualtrics,qualtrics
7623,international,international
7624,inc,inc
7625,xm.o,xm.o
7626,bmo,bmo
7627,cuts,cuts
7628,target,target
7629,price,price
7630,to,
7631,from,
7632,quest,quest
7633,diagnostics,diagnostics
7634,inc,inc
7635,dgx.n,dgx.n
7636,bofa,bofa
7637,global,global
7638,research,research
7639,cuts,cuts
7640,price,price
7641,objective,objective
7642,to,
7643,from,
7644,quidel,quidel
7645,corp,corp
7646,qdel.o,qdel.o
7647,ubs,ubs
7648,initiates,initiates
7649,coverage,coverage
7650,with,
7651,sell,sell
7652,rating,rating
7653,target,target
7654,price,price
7655,range,range
7656,resources,resources
7657,corp,corp
7658,rrc.n,rrc.n
7659,mkm,mkm
7660,partners,partners
7661,assumes,assumes
7662,with,
7663,neutral,neutral
7664,rating,rating
7665,fair,fair
7666,value,value
7667,red,red
7668,rock,rock
7669,resorts,resorts
7670,inc,inc
7671,rrr.o,rrr.o
7672,truist,truist
7673,securities,securities
7674,cuts,cuts
7675,target,target
7676,price,price
7677,to,
7678,from,
7679,regeneron,regeneron
7680,pharmaceuticals,pharmaceuticals
7681,inc,inc
7682,regn.o,regn.o
7683,cowen,cowen
7684,and,
7685,company,company
7686,raises,raises
7687,pt,pt
7688,to,
7689,from,
7690,repligen,repligen
7691,corp,corp
7692,rgen.o,rgen.o
7693,ubs,ubs
7694,initiates,initiates
7695,coverage,coverage
7696,with,
7697,buy,buy
7698,rating,rating
7699,target,target
7700,price,price
7701,restaurant,restaurant
7702,brands,brands
7703,international,international
7704,inc,inc
7705,qsr.n,qsr.n
7706,cibc,cibc
7707,cuts,cuts
7708,target,target
7709,price,price
7710,to,
7711,from,
7712,rocket,rocket
7713,companies,companies
7714,inc,inc
7715,rkt.n,rkt.n
7716,bofa,bofa
7717,global,global
7718,research,research
7719,cuts,cuts
7720,price,price
7721,objective,objective
7722,to,
7723,from,
7724,ryman,ryman
7725,hospitality,hospitality
7726,properties,properties
7727,inc,inc
7728,rhp.n,rhp.n
7729,truist,truist
7730,securities,securities
7731,cuts,cuts
7732,pt,pt
7733,to,
7734,from,
7735,sealed,sealed
7736,air,air
7737,corp,corp
7738,see.n,see.n
7739,credit,credit
7740,suisse,suisse
7741,cuts,cuts
7742,target,target
7743,price,price
7744,to,
7745,from,
7746,sealed,sealed
7747,air,air
7748,corp,corp
7749,see.n,see.n
7750,credit,credit
7751,suisse,suisse
7752,cuts,cuts
7753,to,
7754,neutral,neutral
7755,from,
7756,outperform,outperform
7757,seaspine,seaspine
7758,holdings,holdings
7759,corp,corp
7760,spne.o,spne.o
7761,truist,truist
7762,securities,securities
7763,cuts,cuts
7764,target,target
7765,price,price
7766,to,
7767,from,
7768,seaworld,seaworld
7769,entertainment,entertainment
7770,inc,inc
7771,seas.n,seas.n
7772,stifel,stifel
7773,cuts,cuts
7774,target,target
7775,price,price
7776,to,
7777,from,
